percent,attendant
63.47826087,y
70,y
78.26086957,y
50.43478261,n
74.34782609,y
87.39130435,y
60.86956522,n
89.56521739,y
100,n
82.60869565,y
40.86956522,n
85.2173913,n
70,n
87.39130435,y
85.2173913,y
89.56521739,y
63.04347826,n
70,n
80.43478261,y
74.34782609,n
95.65217391,y
86.95652174,n
72.17391304,y
78.26086957,y
71.73913043,n
93.47826087,n
95.65217391,y
52.60869565,y
55.2173913,n
56.52173913,y
85.65217391,y
73.91304348,y
50.86956522,n
52.60869565,n
87.39130435,n
87.39130435,n
76.08695652,y
58.69565217,n
47.82608696,n
78.69565217,n
0,n
85.2173913,n
67.82608696,y
93.91304348,y
93.91304348,n
59.13043478,y
76.08695652,n
61.30434783,n
76.52173913,y
83.47826087,y
91.30434783,n
59.13043478,y
73.91304348,n
56.52173913,n
80.86956522,y
91.30434783,y
80.86956522,y
